time_sec,frequency_hz
0.0000,294.5632
0.0143,294.5632
0.0286,294.5632
0.0429,294.5632
0.0571,294.5632
0.0714,294.5632
0.0857,294.5632
0.1000,294.5632
0.1143,294.5632
0.1286,294.5632
0.1429,294.5632
0.1571,294.5632
0.1714,294.5632
0.1857,294.5632
0.2000,294.5632
0.2143,294.5632
0.2286,294.5632
0.2429,294.5632
0.2571,294.5632
0.2714,294.5632
0.2857,294.5632
0.3000,294.5632
0.3143,294.5632
0.3286,294.5632
0.3429,294.5632
0.3571,294.5632
0.3714,294.5632
0.3857,294.5632
0.4000,294.5632
0.4143,294.5632
0.4286,294.5632
0.4429,294.5632
0.4571,294.5632
0.4714,294.5632
0.4857,294.5632
0.5000,294.5632
0.5143,294.5632
0.5286,294.5632
0.5429,294.5632
0.5571,294.5632
0.5714,294.5632
0.5857,294.5632
0.6000,294.5632
0.6143,294.5632
0.6286,294.5632
0.6429,294.5632
0.6571,294.5632
0.6714,294.5632
0.6857,294.5632
0.7000,294.5632
0.7143,294.5632
0.7286,294.5632
0.7429,294.5632
0.7571,294.5632
0.7714,294.5632
0.7857,294.5632
0.8000,294.5632
0.8143,294.5632
0.8286,294.5632
0.8429,294.5632
0.8571,294.5632
0.8714,294.5632
0.8857,294.5632
0.9000,294.5632
0.9143,294.5632
