time_sec,frequency_hz
0.0000,297.9859
0.0143,297.9859
0.0286,297.9859
0.0428,297.9859
0.0571,297.9859
0.0714,297.9859
0.0857,297.9859
0.1000,297.9859
0.1143,297.9859
0.1286,297.9859
0.1428,297.9859
0.1571,297.9859
0.1714,297.9859
0.1857,297.9859
0.2000,297.9859
0.2143,297.9859
0.2286,297.9859
0.2428,297.9859
0.2571,297.9859
0.2714,297.9859
0.2857,297.9859
0.3000,297.9859
0.3143,297.9859
0.3286,297.9859
0.3428,297.9859
0.3571,297.9859
0.3714,297.9859
0.3857,297.9859
0.4000,297.9859
0.4143,297.9859
0.4286,297.9859
0.4428,297.9859
0.4571,297.9859
0.4714,297.9859
0.4857,297.9859
0.5000,297.9859
0.5143,297.9859
0.5286,297.9859
0.5428,297.9859
0.5571,297.9859
0.5714,297.9859
0.5857,297.9859
0.6000,297.9859
0.6143,297.9859
0.6286,297.9859
0.6428,297.9859
0.6571,297.9859
0.6714,297.9859
0.6857,297.9859
0.7000,297.9859
0.7143,297.9859
0.7286,297.9859
0.7428,297.9859
0.7571,297.9859
0.7714,297.9859
0.7857,297.9859
0.8000,297.9859
0.8143,297.9859
0.8286,297.9859
0.8428,297.9859
0.8571,297.9859
0.8714,297.9859
0.8857,297.9859
0.9000,297.9859
0.9143,297.9859
0.9286,297.9859
0.9428,297.9859
0.9571,297.9859
0.9714,294.5632
0.9857,294.5632
1.0000,294.5632
1.0143,294.5632
1.0286,294.5632
1.0428,294.5632
1.0571,294.5632
1.0714,294.5632
1.0857,294.5632
1.1000,294.5632
1.1143,294.5632
1.1286,294.5632
1.1428,294.5632
1.1571,291.1799
1.1714,291.1799
1.1857,291.1799
1.2000,291.1799
1.2143,291.1799
1.2286,291.1799
1.2428,287.8354
1.2571,287.8354
1.2714,287.8354
1.2857,287.8354
1.3000,287.8354
1.3143,287.8354
1.3286,287.8354
1.3428,287.8354
1.3571,287.8354
1.3714,284.5293
1.3857,284.5293
1.4000,284.5293
1.4143,284.5293
1.4286,284.5293
1.4428,284.5293
1.4571,284.5293
1.4714,284.5293
1.4857,281.2612
1.5000,281.2612
1.5143,281.2612
1.5286,281.2612
1.5428,281.2612
1.5571,281.2612
1.5714,281.2612
1.5857,281.2612
1.6000,278.0306
1.6143,278.0306
1.6286,278.0306
1.6428,278.0306
1.6571,278.0306
1.6714,274.8372
1.6857,274.8372
1.7000,274.8372
1.7143,274.8372
1.7286,274.8372
1.7428,274.8372
1.7571,274.8372
1.7714,271.6804
1.7857,271.6804
1.8000,271.6804
1.8143,271.6804
1.8286,271.6804
1.8428,271.6804
1.8571,271.6804
1.8714,271.6804
1.8857,268.5599
1.9000,268.5599
1.9143,268.5599
1.9286,268.5599
1.9428,268.5599
1.9571,268.5599
1.9714,268.5599
1.9857,265.4752
2.0000,265.4752
2.0143,265.4752
2.0286,265.4752
2.0428,265.4752
2.0571,265.4752
2.0714,262.4260
2.0857,262.4260
2.1000,262.4260
2.1143,262.4260
2.1286,262.4260
2.1428,262.4260
2.1571,262.4260
2.1714,259.4118
2.1857,259.4118
2.2000,259.4118
2.2143,259.4118
2.2286,256.4322
2.2428,256.4322
2.2571,256.4322
2.2714,256.4322
2.2857,256.4322
2.3000,256.4322
2.3143,256.4322
2.3286,253.4868
2.3428,253.4868
2.3571,253.4868
2.3714,253.4868
2.3857,253.4868
2.4000,250.5752
2.4143,250.5752
2.4286,250.5752
2.4428,250.5752
2.4571,250.5752
2.4714,250.5752
2.4857,247.6971
2.5000,247.6971
2.5143,247.6971
2.5286,495.3943
2.5428,495.3943
2.5571,495.3943
2.5714,495.3943
2.5857,489.7042
2.6000,489.7042
2.6143,489.7042
2.6286,489.7042
2.6428,489.7042
2.6571,489.7042
2.6714,489.7042
2.6857,484.0795
2.7000,484.0795
2.7143,484.0795
2.7286,484.0795
2.7428,484.0795
2.7571,484.0795
2.7714,478.5193
2.7857,478.5193
2.8000,478.5193
2.8143,478.5193
2.8286,478.5193
2.8428,478.5193
2.8571,478.5193
2.8714,478.5193
2.8857,473.0231
2.9000,473.0231
2.9143,473.0231
2.9286,473.0231
2.9428,473.0231
2.9571,473.0231
2.9714,473.0231
2.9857,473.0231
3.0000,467.5899
3.0143,467.5899
3.0286,467.5899
3.0428,467.5899
3.0571,467.5899
3.0714,233.7950
3.0857,233.7950
3.1000,233.7950
3.1143,231.1096
3.1286,231.1096
3.1428,231.1096
3.1571,231.1096
3.1714,231.1096
3.1857,231.1096
3.2000,231.1096
3.2143,231.1096
3.2286,231.1096
3.2428,228.4551
3.2571,228.4551
3.2714,228.4551
3.2857,228.4551
3.3000,228.4551
3.3143,228.4551
3.3286,228.4551
3.3428,228.4551
3.3571,228.4551
3.3714,228.4551
3.3857,228.4551
3.4000,228.4551
3.4143,225.8311
3.4286,225.8311
3.4428,225.8311
3.4571,225.8311
3.4714,225.8311
3.4857,225.8311
3.5000,225.8311
3.5143,225.8311
3.5286,225.8311
3.5428,225.8311
3.5571,225.8311
3.5714,225.8311
3.5857,225.8311
3.6000,225.8311
3.6143,225.8311
3.6286,225.8311
3.6428,225.8311
3.6571,225.8311
3.6714,225.8311
3.6857,225.8311
3.7000,225.8311
3.7143,225.8311
3.7286,225.8311
3.7428,225.8311
3.7571,225.8311
3.7714,225.8311
3.7857,225.8311
3.8000,225.8311
3.8143,225.8311
3.8286,225.8311
3.8428,225.8311
3.8571,225.8311
3.8714,225.8311
3.8857,225.8311
3.9000,225.8311
3.9143,225.8311
3.9286,225.8311
3.9428,225.8311
